ISO A3,Country,Continent,RegimeType2022,Pop2022,GDP2022,GDPpercapita2022
AFG,Afghanistan,Asia,Authoritarian,41128771,14470000000,351.8218427
ALA,Åland Islands,Europa,NA,,,
ALB,Albania,Europa,Flawed democracy,2777689,14319794713,5155.29086
DZA,Algeria,Africa,Authoritarian,44903225,179602000000,3999.757256
ASM,American Samoa,Oceania,NA,44273,662725191,14969.05994
AND,Andorra,Europa,NA,79824,3148860293,39447.53825
AGO,Angola,Africa,Hybrid regime,35588987,84884003208,2385.119959
AIA,Anguilla,America,NA,,,
ATA,Antarctica,Antartide,NA,,,
ATG,Antigua and Barbuda,America,NA,93763,1625386016,17335.04704
ARG,Argentina,America,Flawed democracy,46234830,598313000000,12940.74186
ARM,Armenia,Asia,Hybrid regime,2780469,14225451503,5116.205756
ABW,Aruba,America,NA,106445,3458629954,32492.17863
AUS,Australia,Oceania,Full democracy,26005540,1586170000000,60993.54215
AUT,Austria,Europa,Full democracy,9041851,422235000000,46697.84981
AZE,Azerbaijan,Asia o Europa-Asia,Authoritarian,10141756,56692460618,5590.004396
BHS,Bahamas,America,NA,409984,12415913222,30283.89699
BHR,Bahrain,Asia,Authoritarian,1472233,35915819622,24395.47247
BGD,Bangladesh,Asia,Hybrid regime,171186372,305523000000,1784.739033
BRB,Barbados,America,NA,281635,4671803290,16588.14881
BLR,Belarus,Europa,Authoritarian,9228071,57251844490,6204.096662
BEL,Belgium,Europa,Flawed democracy,11685814,516334000000,44184.6841
BLZ,Belize,America,NA,405272,2509307581,6191.662836
BEN,Benin,Africa,Hybrid regime,13352864,16765953415,1255.607293
BMU,Bermuda,America,NA,63532,6757261643,106359.9705
BTN,Bhutan,Asia,Hybrid regime,782455,,
BOL,Bolivia,America,Hybrid regime,12224110,38319728331,3134.766321
BES,Bonaire. Sint Eustatius and Saba,America,NA,,,
BIH,Bosnia and Herzegovina,Europa,Hybrid regime,3233526,20253843510,6263.702073
BWA,Botswana,Africa,Flawed democracy,2630296,17511419430,6657.585089
BVT,Bouvet Island,Europa,NA,,,
BRA,Brazil,America,Flawed democracy,215313498,1901460000000,8831.123073
IOT,British Indian Ocean Territory,Asia,NA,,,
VGB,British Virgin Islands,America,NA,31305,,
BRN,Brunei,Asia,NA,449002,13000432684,28954.06409
BGR,Bulgaria,Europa,Flawed democracy,6465097,61747770025,9550.94255
BFA,Burkina Faso,Africa,Authoritarian,22673762,16610125161,732.5703234
BDI,Burundi,Africa,Authoritarian,12889576,3379450966,262.1848047
CPV,Cabo Verde,Africa,NA,593149,2072800252,3494.569243
KHM,Cambodia,Asia,Authoritarian,16767842,24964207156,1488.814551
CMR,Cameroon,Africa,Authoritarian,27914536,40247035778,1441.794905
CAN,Canada,America,Full democracy,38929902,1761100000000,45237.71984
CYM,Cayman Islands,America,NA,68706,5561542246,80946.966
CAF,Central African Republic,Africa,Authoritarian,5579144,2034662229,364.6907535
TCD,Chad,Africa,Authoritarian,17723315,10462164584,590.3051762
CHL,Chile,America,Flawed democracy,19603733,281423000000,14355.58217
CHN,China,Asia,Authoritarian,1412175000,16325100000000,11560.2528
CXR,Christmas Island,Asia,NA,,,
CCK,Cocos (Keeling) Islands,Asia,NA,,,
COL,Colombia,America,Flawed democracy,51874024,354950000000,6842.538377
COM,Comoros,Africa,Authoritarian,836774,1140337215,1362.77802
COD,Congo. Dem. Rep.,Africa,Authoritarian,99010212,52355494608,528.7888345
COG,Congo. Rep.,Africa,Authoritarian,5970424,10175228552,1704.272352
COK,Cook Islands,Oceania,NA,,,
CRI,Costa Rica,America,Full democracy,5180829,69549856034,13424.4647
CIV,Cote d'Ivoire,Africa,Hybrid regime,28160542,68438760123,2430.306921
HRV,Croatia,Europa,Flawed democracy,3855600,64042742435,16610.31809
CUB,Cuba,America,Authoritarian,11212191,83527267339,7449.68288
CUW,Curacao,America,NA,149996,2608023261,17387.2854
CYP,Cyprus,Europa-Asia,Flawed democracy,1251488,27902745979,22295.65603
CZE,Czech Republic,Europa,Flawed democracy,10672118,215975000000,20237.31372
DNK,Denmark,Europa,Full democracy,5903037,356222000000,60345.54756
DJI,Djibouti,Africa,Authoritarian,1120849,3307565405,2950.946475
DOM,Dominica,America,Flawed democracy,11228821,98050971574,8732.080739
DMA,Dominica,America,NA,72737,533867403,7339.695107
TLS,East Timor,Asia,Flawed democracy,1341296,2161456465,1611.468658
ECU,Ecuador,America,Hybrid regime,18001000,100635000000,5590.522749
EGY,Egypt. Arab Rep.,Africa-Asia,Authoritarian,110990103,453827000000,4088.896106
SLV,El Salvador,America,Hybrid regime,6336392,27100464997,4276.955245
GNQ,Equatorial Guinea,Africa,Authoritarian,1674908,9957665857,5945.201681
ERI,Eritrea,Africa,Authoritarian,3684032,2065001630,560.527604
EST,Estonia,Europa,Flawed democracy,1348840,28518917122,21143.29136
SWZ,Eswatini,Africa,Authoritarian,1201670,4822247028,4012.954495
ETH,Ethiopia,Africa,Authoritarian,123379924,105776000000,857.3193804
FRO,Fær Øer,Europa,NA,53090,3169430572,59699.20083
FLK,Falkland Islands,America,NA,,,
FJI,Fiji,Oceania,Hybrid regime,929766,4939873229,5313.028471
FIN,Finland,Europa,Full democracy,5556106,259985000000,46792.66378
FRA,France,Europa,Full democracy,67971311,2638410000000,38816.52364
GUF,French Guiana,America,NA,,,
PYF,French Polynesia,Oceania,NA,306279,5899733908,19262.6132
ATF,French Southern and Antarctic Lands,Africa-Antartide,NA,,,
GAB,Gabon,Africa,Authoritarian,2388992,15855897832,6637.066107
GMB,Gambia,Africa,Hybrid regime,2705992,1835641393,678.3617221
GEO,Georgia,Asia o Europa-Asia,Hybrid regime,3712502,20190828886,5438.604178
DEU,Germany,Europa,Full democracy,83797985,3633580000000,43361.18583
GHA,Ghana,Africa,Flawed democracy,33475870,68003831000,2031.428339
GIB,Gibraltar,Europa,NA,32649,,
GRC,Greece,Europa,Full democracy,10426919,211538000000,20287.68038
GRL,Greenland,America,NA,56661,,
GRD,Grenada,America,NA,125438,1089874059,8688.547801
GLP,Guadalupa,America,NA,,,
GUM,Guam,Oceania,NA,171774,,
GTM,Guatemala,America,Hybrid regime,17357886,78182161579,4504.129223
GGY,Guernsey,Europa,NA,,,
GIN,Guinea,Africa,Authoritarian,13859341,13782241447,994.4369972
GNB,Guinea-Bissau,Africa,Authoritarian,2105566,1309350904,621.852226
GUY,Guyana,America,Flawed democracy,808726,14270953619,17646.21592
HTI,Haiti,America,Authoritarian,11584996,14456828346,1247.89239
HMD,Heard Island and McDonald Islands,Antartide,NA,,,
HND,Honduras,America,Hybrid regime,10432860,25953884374,2487.705612
HKG,Hong Kong,Asia,Hybrid regime,7346100,318598000000,43369.67915
HUN,Hungary,Europa,Flawed democracy,9643048,157531000000,16336.22481
ISL,Iceland,Europa,Full democracy,382003,21556161805,56429.29978
IND,India,Asia,Flawed democracy,1417173173,2961520000000,2089.737554
IDN,Indonesia,Asia-Oceania,Flawed democracy,275501339,1122290000000,4073.628114
IRN,Iran,Asia,Authoritarian,88550570,487695000000,5507.530895
IRQ,Iraq,Asia,Authoritarian,44496122,192926000000,4335.793578
IRL,Ireland,Europa,Full democracy,5127170,498960000000,97316.84341
IMN,Isle of Man,Europa,NA,84519,,
ISR,Israel,Asia,Flawed democracy,9557500,408208000000,42710.75072
ITA,Italy,Europa,Flawed democracy,58940425,1961620000000,33281.40237
JAM,Jamaica,America,Flawed democracy,2827377,14806380333,5236.790259
JPN,Japan,Asia,Full democracy,125124989,4529850000000,36202.60059
JEY,Jersey,Europa,NA,103200,,
JOR,Jordan,Asia,Authoritarian,11285869,43915711449,3891.212227
KAZ,Kazakhstan,Europa-Asia,Authoritarian,19621972,221550000000,11290.91408
KEN,Kenya,Africa,Hybrid regime,54027487,94795844230,1754.58548
KIR,Kiribati,Oceania,NA,131232,188123214,1433.516322
PRK,Korea. Dem. People's Rep.,Asia,Authoritarian,26069416,16750000000,642.5153521
KOR,Korea. Rep.,Asia,Full democracy,51628117,1740870000000,33719.41688
KOS,Kosovo,Europa,NA,1761864,,
KWT,Kuwait,Asia,Authoritarian,4268873,114892000000,26913.89507
KGZ,Kyrgyzstan,Asia,Authoritarian,6974900,8250690928,1182.911716
LAO,Lao PDR,Asia,Authoritarian,7529475,19570649662,2599.205079
LVA,Latvia,Europa,Flawed democracy,1879383,32102385242,17081.34278
LBN,Lebanon,Asia,Authoritarian,5489739,21780000000,3967.401729
LSO,Lesotho,Africa,Flawed democracy,2305825,2192029733,950.6487843
LBR,Liberia,Africa,Hybrid regime,5302681,3428189417,646.5011599
LBY,Libya,Africa,Authoritarian,6812341,55524882597,8150.631713
LIE,Liechtenstein,Europa,NA,39327,,
LTU,Lithuania,Europa,Flawed democracy,2831639,52484649638,18535.07797
LUX,Luxembourg,Europa,Full democracy,653103,71655146216,109714.9243
MAC,Macau,Asia,NA,695168,22581086915,32482.92055
MDG,Madagascar,Africa,Hybrid regime,29611714,13439517646,453.858147
MWI,Malawi,Africa,Hybrid regime,20405317,11308596144,554.1985035
MYS,Malaysia,Asia,Flawed democracy,33938221,386875000000,11399.3895
MDV,Maldives,Asia,NA,523787,5780294642,11035.58248
MLI,Mali,Africa,Authoritarian,22593590,16922029961,748.9748181
MLT,Malta,Europa,Flawed democracy,531113,16134998796,30379.5968
MHL,Marshall Islands,Oceania,NA,41569,220602591,5306.901556
MTQ,Martinica,America,NA,,,
MRT,Mauritania,Africa,Hybrid regime,4736139,7657463959,1616.815714
MUS,Mauritius,Africa,Full democracy,1262523,13345493636,10570.49546
MYT,Mayotte,Africa,NA,,,
MEX,Mexico,America,Hybrid regime,127504125,1284910000000,10077.39946
FSM,Micronesia,Oceania,NA,114164,314095835,2751.268661
MDA,Moldova,Europa,Flawed democracy,2538894,9094802867,3582.190854
MNG,Mongolia,Asia,Flawed democracy,3398366,14441951079,4249.675014
MNE,Montenegro,Europa,Flawed democracy,617213,4869340027,7889.237633
MSR,Montserrat,America,NA,,,
MAR,Morocco,Africa,Hybrid regime,37457971,125542000000,3351.542987
MOZ,Mozambique,Africa,Authoritarian,32969518,19464182833,590.3690443
MMR,Myanmar,Asia,Authoritarian,54179306,63341396863,1169.106833
NAM,Namibia,Africa,Flawed democracy,2567012,11508641306,4483.283018
NRU,Nauru,Oceania,NA,12668,109473838,8641.761786
NPL,Nepal,Asia,Hybrid regime,30547580,33084084558,1083.03455
NLD,Netherlands,Europa,Full democracy,17700982,894728000000,50546.80017
NCL,New Caledonia,Oceania,NA,269220,,
NZL,New Zealand,Oceania,Full democracy,5124100,218076000000,42558.88839
NIC,Nicaragua,America,Authoritarian,6948392,14728688610,2119.726206
NER,Niger,Africa,Authoritarian,26207977,14294168692,545.4128982
NGA,Nigeria,Africa,Hybrid regime,218541212,535336000000,2449.588318
NIU,Niue,Oceania,NA,,,
NFK,Norfolk Island,Oceania,NA,,,
MKD,North Macedonia,Europa,Flawed democracy,2057679,11318055635,5500.399059
MNP,Northern Mariana Islands,Oceania,NA,49551,,
NOR,Norway,Europa,Full democracy,5457127,433528000000,79442.53451
OMN,Oman,Asia,Authoritarian,4576298,86294680435,18856.87524
PAK,Pakistan,Asia,Authoritarian,235824862,399949000000,1695.95774
PLW,Palau,Oceania,NA,18055,,
PSE,Palestina,Asia,Authoritarian,5043612,15612500000,3095.499812
PAN,Panama,America,Flawed democracy,4408581,67839490713,15388.05587
PNG,Papua New Guinea,Oceania,Flawed democracy,10142619,24976697195,2462.549091
PRY,Paraguay,America,Flawed democracy,6780744,41995687742,6193.374612
PER,Peru,America,Hybrid regime,34049588,223194000000,6554.969182
PHL,Philippines,Asia,Flawed democracy,115559009,407690000000,3527.981103
PCN,Pitcairn,Oceania,NA,,,
POL,Poland,Europa,Flawed democracy,36821749,630290000000,17117.32922
PRT,Portugal,Europa,Flawed democracy,10409704,230324000000,22125.8933
MCO,Principality of Monaco,Europa,NA,36469,8339290932,228667.9353
PRI,Puerto Rico,America,Flawed democracy,3221789,95855079059,29752.12811
QAT,Qatar,Asia,Authoritarian,2695122,170947000000,63428.2975
REU,Réunion,Africa,NA,,,
ROU,Romania,Europa,Flawed democracy,19047009,232157000000,12188.63287
RUS,Russian Federation,Europa-Asia,Authoritarian,144236933,1471540000000,10202.24134
RWA,Rwanda,Africa,Authoritarian,13776698,12955125583,940.3650703
BLM,Saint Barthelemy,America,NA,,,
SHN,Saint Helena. Ascension and Tristan da Cunha,Africa,NA,,,
KNA,Saint Kitts and Nevis,America,NA,47657,973556961,20428.41474
MAF,Saint Martin,America,NA,31791,,
SPM,Saint Pierre and Miquelon,America,NA,,,
WSM,Samoa,Oceania,NA,222382,798752768,3591.804948
SMR,San Marino,Europa,NA,33660,,
STP,São Tomé e Príncipe,Africa,NA,227380,317230919,1395.157528
SAU,Saudi Arabia,Asia,Authoritarian,36408820,769633000000,21138.64168
SEN,Senegal,Africa,Hybrid regime,17316449,25370428994,1465.10575
SRB,Serbia,Europa,Flawed democracy,6664449,49937794676,7493.161802
SYC,Seychelles,Africa,NA,119878,1733621175,14461.5457
SLE,Sierra Leone,Africa,Hybrid regime,8605718,5394942200,626.9020435
SGP,Singapore,Asia,Flawed democracy,5637022,379709000000,67359.85774
SXM,Sint Maarten,America,NA,42848,1361800685,31782.1295
SVK,Slovakia,Europa,Flawed democracy,5431752,102540000000,18877.88691
SVN,Slovenia,Europa,Flawed democracy,2111986,53538335168,25349.75855
SLB,Solomon Islands,Oceania,NA,724273,1371124331,1893.104301
SOM,Somalia,Africa,Authoritarian,17597511,8958058842,509.0526065
ZAF,South Africa,Africa,Flawed democracy,59893885,360707000000,6022.434511
SGS,South Georgia and the South Sandwich Islands,Oceania,NA,,,
SSD,South Sudan,Africa,Authoritarian,10913164,11997800000,1099.387859
ESP,Spain,Europa,Full democracy,47778340,1323590000000,27702.72052
LKA,Sri Lanka,Asia,Flawed democracy,22181000,88459606027,3988.08016
LCA,St. Lucia,America,NA,179857,1942933249,10802.65572
VCT,St. Vincent and the Grenadines,America,NA,103948,879438071,8460.365482
SDN,Sudan,Africa,Authoritarian,46874204,78965707790,1684.630374
SUR,Suriname,America,Flawed democracy,618040,4413928267,7141.816496
SJM,Svalbard and Jan Mayen,Europa,NA,,,
SWA,Swaziland,Africa,NA,,,
SWE,Sweden,Europa,Full democracy,10486941,587578000000,56029.49421
CHE,Switzerland,Europa,Full democracy,8775760,790319000000,90057.04349
SYR,Syria,Asia,Authoritarian,22125249,8969510000,405.3970195
TWN,Taiwan,Asia,Full democracy,23894394,760460000000,31825.87514
TJK,Tajikistan,Asia,Authoritarian,9952787,13499137004,1356.317281
TZA,Tanzania,Africa,Hybrid regime,65497748,67153889893,1025.285478
THA,Thailand,Asia,Flawed democracy,71697030,450139000000,6278.349326
TGO,Togo,Africa,Authoritarian,8848699,7859198718,888.1756197
TKL,Tokelau,Oceania,NA,,,
TON,Tonga,Oceania,NA,106858,,
TTO,Trinidad and Tobago,America,Flawed democracy,1531044,21672195441,14155.1748
TUN,Tunisia,Africa,Hybrid regime,12356117,48116779201,3894.166687
TUR,Turkey,Europa-Asia,Hybrid regime,84979913,1194400000000,14055.08617
TKM,Turkmenistan,Asia,Authoritarian,6430770,46927329010,7297.311055
TCA,Turks and Caicos,America,NA,45703,928828869,20323.14878
TUV,Tuvalu,Oceania,NA,11312,45116851,3988.406241
UGA,Uganda,Africa,Hybrid regime,47249585,44147216890,934.340839
UKR,Ukraine,Europa,Hybrid regime,38000000,71962895140,1893.760398
ARE,United Arab Emirates,Asia,Authoritarian,9441129,431441000000,45698.03039
GBR,United Kingdom,Europa,Full democracy,66971395,3209500000000,47923.44553
USA,United States,America,Flawed democracy,333287557,20926800000000,62789.02275
UMI,United States Minor Outlying Islands,America,NA,,,
URY,Uruguay,America,Full democracy,3422794,62345533961,18214.80754
UZB,Uzbekistan,Asia,Authoritarian,35648100,123819000000,3473.368847
VUT,Vanuatu,Oceania,NA,326740,841659631,2575.930805
VAT,Vatican City,Europa,NA,,,
VEN,Venezuela,America,Authoritarian,28301696,482359320000,17043.47754
VNM,Vietnam,Asia,Authoritarian,98186856,358918000000,3655.458731
VIR,Virgin Islands (U.S.),America,NA,105413,,
WLF,Wallis and Futuna,Oceania,NA,,,
ESH,West Sahara,Africa,NA,,,
YEM,Yemen,Asia,Authoritarian,33696614,21606160000,641.1967683
ZMB,Zambia,Africa,Hybrid regime,20017675,26185157462,1308.101838
ZWE,Zimbabwe,Africa,Authoritarian,16320537,21963674100,1345.769082
